Master Time (s),gravity_x,gravity_y,gravity_z,lin_accel_x,lin_accel_y,lin_accel_z
13.978930,,,,0.190000,-0.190000,-0.230000
13.979129,7.630000,6.130000,0.530000,,,
14.078476,,,,-0.060000,-0.140000,-0.790000
14.078857,7.480000,6.320000,0.370000,,,
14.128832,,,,2.200000,1.210000,-0.690000
14.128961,7.300000,6.530000,0.280000,,,
14.187662,,,,1.150000,-0.340000,-0.420000
14.212313,7.180000,6.670000,0.220000,,,
14.244678,,,,2.500000,-0.580000,-0.460000
14.245549,6.890000,6.970000,0.200000,,,
14.329013,,,,7.070000,0.050000,-0.210000
14.329133,6.320000,7.490000,0.130000,,,
14.378972,,,,3.630000,2.310000,1.810000
14.379101,5.330000,8.220000,-0.170000,,,
14.412129,,,,3.420000,-3.930000,1.270000
14.412988,4.090000,8.900000,-0.290000,,,
14.511902,,,,0.450000,-1.540000,-4.100000
14.512300,3.220000,9.260000,-0.080000,,,
14.562608,,,,0.930000,-6.830000,0.840000
14.562731,3.340000,9.170000,0.830000,,,
14.596058,,,,1.680000,-2.650000,-0.790000
14.596384,4.090000,8.830000,1.150000,,,
14.679188,,,,1.580000,-1.220000,-1.300000
14.679352,4.980000,8.320000,1.420000,,,
14.729368,,,,1.480000,-1.820000,-1.300000
14.729498,6.450000,7.170000,1.760000,,,
14.845527,,,,1.840000,1.640000,-2.420000
14.846056,7.490000,6.100000,1.660000,,,
14.929447,,,,4.480000,5.180000,0.110000
14.929628,9.310000,2.640000,1.530000,,,
14.979749,,,,-2.590000,4.050000,1.040000
14.979891,9.640000,1.180000,1.300000,,,
15.036708,,,,-0.260000,5.150000,1.290000
15.036930,9.710000,0.620000,1.190000,,,
15.146930,,,,-2.610000,8.080000,-1.770000
15.147064,9.640000,0.920000,1.500000,,,
15.205088,,,,-0.020000,1.580000,-0.910000
15.229858,9.270000,2.520000,1.960000,,,
15.262970,,,,1.370000,-1.360000,0.370000
15.263116,8.900000,3.610000,1.960000,,,
15.346625,,,,0.020000,1.360000,-0.820000
15.346758,8.600000,4.390000,1.650000,,,
15.455637,,,,0.130000,-0.070000,-1.780000
15.455773,8.370000,4.910000,1.380000,,,
15.513046,,,,0.140000,0.410000,-0.800000
15.513239,7.940000,5.650000,1.030000,,,
15.514057,,,,0.080000,0.820000,-0.770000
15.514250,7.820000,5.850000,0.820000,,,
15.696363,,,,0.000000,0.070000,-0.960000
15.696705,7.790000,5.900000,0.680000,,,
15.747028,,,,0.250000,-0.080000,-0.850000
15.747166,7.710000,6.030000,0.510000,,,
15.805447,,,,0.230000,0.170000,-0.420000
15.805487,7.640000,6.110000,0.480000,,,
15.863241,7.540000,6.250000,0.460000,,,
15.863554,,,,1.610000,-0.780000,-0.890000
15.947040,,,,2.910000,-0.630000,-1.450000
15.947160,7.090000,6.750000,0.480000,,,
15.997450,,,,4.050000,0.000000,-0.450000
15.997533,6.620000,7.200000,0.580000,,,
16.056298,,,,5.930000,-0.570000,-0.650000
16.056428,6.190000,7.570000,0.570000,,,
16.113865,5.060000,8.380000,0.540000,,,
