Master Time (s),imag_part_kohm,impedance_change_speed_ohm_per_s,impedance_magnitude_ohm,impedance_phase_deg,real_part_kohm
38.085577,-92.382852,1.677366,134832.423363,-43.248815,98.209934
38.166947,-92.482145,622.579283,135004.612685,-43.237929,98.352928
38.251869,-88.971271,-9782.199054,129585.537655,-43.360255,94.215310
38.368547,-79.082976,-74815.152088,114188.121383,-43.833690,82.369958
38.485437,-75.770566,-73236.348380,109158.407795,-43.958251,78.577219
38.512647,-77.454420,-75127.490918,111683.889513,-43.908977,80.461817
38.645813,-81.395203,-30945.754877,117518.673040,-43.837472,84.767090
38.778945,-82.498181,33651.220975,119214.120982,-43.789973,86.058449
38.835758,-82.594321,28394.213237,119362.012834,-43.785848,86.171157
38.969527,-82.700865,6126.199338,119538.436030,-43.775535,86.313410
39.085985,-82.842391,1960.782187,119849.117885,-43.726948,86.608021
39.119337,-86.702081,13281.103377,126166.173366,-43.409300,91.655074
39.263376,-91.772758,51734.971598,133936.440747,-43.251049,97.553734
39.379452,-92.396422,48161.303532,134891.239383,-43.233230,98.277910
39.436474,-92.333558,39260.389356,134788.423542,-43.237642,98.195892
39.553236,-92.219880,2153.698551,134606.444079,-43.244059,98.052989
